site;code;codereg;nomreg;nom;longitude;latitude;eeprot;eea;eeprev;eecwns;eensp;eet;eetow;eiir;ehe;ehns;rcm_collected;rcm_distributed;pcrcmphc;pcnpitm;pcnpoiflw;pcprwtf;pcprwtfowu;pcumcsbhbi;pcptr;pchrtr;pcpltccp;pcptwtdwi;rcmcoll;acesces;acesfc;acesehi;acespi;acesc;acesv;aceswst;acphcs;acpacp;acpc;acpi;acwwha;apppdotf;appfc;appehi;appwha;ppdv;ppdvami;ppdvamiw;ppdvamim;ppdnr;ppdnrw;ppdnrm;ppnovco;ppnopdv;pprcmcoll;pprcmdist;pppcmtit;ppdvbtrwi;ppdratvi;ppptwadawi;awwhs;awwhswpd;awwa;awwaow;awwfps;awwfpswpd;awwapt;awwcs;awwprs;awwnpfwp;awwnpfwo;awwpd;awwod;awwnprp
TUN;REG_TUN;AFRICA;Africa;Tunis (regional);10.19436034;36.83276991;2999;4504;1997;779;-;10279;627;97;28;56;85;185;16263;-;-;6;-;18;-;-;53;10;85;84500;2500;84500;-;-;-;-;0;0;0;0;58755;2585;206;690;2585;19538;222;7;8;132;3;8;108;38;93;18;158;-;-;11;0;0;0;0;0;0;0;1;540;16;47;32;74;540
NDJ;DEL_TD;AFRICA;Africa;Chad;15.04481634;12.11033808;2921;5629;1791;1413;-;11754;717;93;26;114;1659;1253;1516;-;-;3;3;38;-;-;60;-;1659;11500;-;11500;-;-;-;-;0;0;0;0;0;7823;477;7823;2061;5292;137;1;3;102;1;3;59;16;262;135;887;-;-;193;1;1;488;126;-;126;-;2;4609;82;125;265;454;2602
ASM;DEL_ER;AFRICA;Africa;Eritrea;38.92807573;15.31069646;820;1050;223;92;-;2185;133;44;3;39;1523;1775;-;-;-;2;2;1;-;-;4;51;1523;84522;-;6533;84522;-;-;-;0;0;0;0;17941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADD;DEL_ET;AFRICA;Africa;Ethiopia;38.81420372;9.018355101;3537;6161;2108;850;-;12657;767;91;30;149;3392;3045;4739;-;-;2;-;18;2;-;50;33;3392;6322;-;6322;-;660;-;-;0;0;0;0;76774;16533;-;16533;7192;28071;163;1;-;95;1;-;22;20;225;1;-;-;-;78;0;0;0;0;0;0;0;7;6768;741;1037;1838;2372;3495
NAI;REG_NAI;AFRICA;Africa;Nairobi (regional);36.79726;-1.285196;1634;1789;2579;1646;-;7648;467;93;29;316;20579;13072;125187;-;-;-;-;41;29;-;61;14;20579;21600;-;-;-;21600;-;25;0;0;0;0;37448;550;-;-;550;1308;53;1;-;8;-;-;10;6;573;411;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YAO;REG_YAO;AFRICA;Africa;Yaounde (regional);11.51553342;3.895448286;1436;-;1894;1129;-;4459;272;85;9;49;232;407;-;-;-;60;60;25;-;-;110;2;232;58;58;7.7;-;17;-;-;0;0;0;0;0;2463.3;231;2463.3;-;56;27;1;-;6;-;-;28;16;7;5;-;-;-;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COA;DEL_GN;AFRICA;Africa;Guinea;-13.67726339;9.530493304;1384;3238;1389;1271;-;7282;444;92;17;93;116;168;41;-;-;-;-;24;-;-;7;-;116;0;0;0;0;0;0;0;0;0;0;0;246000;10215;2046;10215;2821;3669;101;2;-;47;1;-;248;63;211;32;66;-;-;10;6;-;-;-;-;-;-;0;0;0;0;0;0;0
MON;DEL_LR;AFRICA;Africa;Liberia;-10.79037834;6.342708926;1364;2494;1104;1966;-;6928;423;105;13;118;728;503;1453;8;-;121;102;99;-;-;21;118;728;18192;-;-;18192;-;-;-;4;11114;15436;8281;41928;2090;713;2090;1400;2702;181;-;21;50;-;15;70;25;110;122;5;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NIA;REG_NIA;AFRICA;Africa;Niamey (regional);2.072742;13.530693;1889;49723;2803;2025;-;56440;3409;94;34;214;136;148;1696;-;-;-;13;28;469;-;49;-;136;1015491.25;1015491.25;106301;240729;27706;-;1877653;12;16709;10090;13520;307463;3550;481.75;3550;975;8951;303;1;5;300;1;5;59;31;122;54;46;-;16;1;1;1;2012;122;-;122;-;1;141;18;19;18;21;59
BUJ;DEL_BI;AFRICA;Africa;Burundi;29.34482132;-3.357114408;1651;2225;320;567;-;4764;291;95;14;54;1641;1738;76;-;-;3;1;3;-;-;24;-;1641;0;0;0;0;0;0;0;0;0;0;0;0;21190;-;21190;11249;11469;643;11;17;247;5;8;129;32;4;7;-;-;-;31;0;0;0;0;0;0;0;1;2310;7;296;10;435;1580
